route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
71A,071A,71A - NEGLEY,East Liberty,Bus,2020-05-01,202005,SAT.,0.6964,
71A,071A,71A - NEGLEY,East Liberty,Bus,2020-05-01,202005,SUN.,0.825,
71A,071A,71A - NEGLEY,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7337,
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2020-05-01,202005,SAT.,0.7272,
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2020-05-01,202005,SUN.,0.7802,
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7412,
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2020-05-01,202005,SAT.,0.6986,
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2020-05-01,202005,SUN.,0.621,
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7028,
71D,071D,71D - HAMILTON,East Liberty,Bus,2020-05-01,202005,SAT.,0.7325,
71D,071D,71D - HAMILTON,East Liberty,Bus,2020-05-01,202005,SUN.,0.6822,
71D,071D,71D - HAMILTON,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.704,
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2020-05-01,202005,SAT.,0.6828,
74,74,NA,NA,NA,2020-05-01,202005,SUN.,0,
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7176,
75,075,75 - ELLSWORTH,East Liberty,Bus,2020-05-01,202005,SAT.,0.7267,
75,075,75 - ELLSWORTH,East Liberty,Bus,2020-05-01,202005,SUN.,0.6547,
75,075,75 - ELLSWORTH,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7405,
77,077,77 - PENN HILLS,East Liberty,Bus,2020-05-01,202005,SAT.,0.6282,
77,077,77 - PENN HILLS,East Liberty,Bus,2020-05-01,202005,SUN.,0.4822,
77,077,77 - PENN HILLS,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.5923,
79,079,79 - EAST HILLS,East Liberty,Bus,2020-05-01,202005,SAT.,0.6054,
79,079,79 - EAST HILLS,East Liberty,Bus,2020-05-01,202005,SUN.,0.5551,
79,079,79 - EAST HILLS,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7206,
81,081,81 - OAK HILL,West Mifflin,Bus,2020-05-01,202005,SAT.,0.7103,
81,081,81 - OAK HILL,West Mifflin,Bus,2020-05-01,202005,SUN.,0.759,
81,081,81 - OAK HILL,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.768,
82,082,82 - LINCOLN,East Liberty,Bus,2020-05-01,202005,SAT.,0.6701,
82,082,82 - LINCOLN,East Liberty,Bus,2020-05-01,202005,SUN.,0.5188,
82,082,82 - LINCOLN,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.684,
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2020-05-01,202005,SAT.,0.631,
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2020-05-01,202005,SUN.,0.6793,
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.7908,
86,086,86 - LIBERTY,East Liberty,Bus,2020-05-01,202005,SAT.,0.5952,
86,086,86 - LIBERTY,East Liberty,Bus,2020-05-01,202005,SUN.,0.5406,
